Banco,Tipo_contrato,Taxa_tipo,Taxa%,Vencimento (dias),Valor inicial,Valor bruto,IR,Valor líquido,Rentabilidade líquida (%)
PARANA BANCO,CDB,PRE,14.8,182,200000,214759.45,2951.89,211807.56,5.9
BANCO C6 CONSIGNADO S.A.,CDB,IPCA,10.0,161,200000,215206.58,3421.48,211785.1,5.89
BANCO VOLKSWAGEN S.A.,CDB,PRE,14.75,182,200000,214709.59,2941.92,211767.67,5.88
BANCO CARREFOUR,CDB,PRE,14.73,182,200000,214689.64,2937.93,211751.72,5.88
STELLANTIS FINANCIAMENTOS,CDB,PRE,14.57,182,200000,214530.08,2906.02,211624.07,5.81
MERCADO LIVRE,CDB,PRE,14.56,182,200000,214520.11,2904.02,211616.09,5.81
BCO VOLKSWAGEN S/A,CDB,PRE,14.55,182,200000,214510.14,2902.03,211608.11,5.8
BANCO PAN,CDB,PRE,14.49,182,200000,214450.3,2890.06,211560.24,5.78
BANCO DAYCOVAL,CDB,PRE,14.48,182,200000,214440.33,2888.07,211552.26,5.78
BANCO DAYCOVAL,CDB,PRE,14.48,182,200000,214440.33,2888.07,211552.26,5.78
BANCO BTG PACTUAL,CDB,PRE,14.31,184,200000,214427.62,2885.52,211542.09,5.77
BANCO VOLKSWAGEN,CDB,PRE,14.45,182,200000,214410.41,2882.08,211528.33,5.76
PARANA BANCO,CDB,PRE,14.4,182,200000,214360.55,2872.11,211488.44,5.74
BANCO RNX,CDB,PRE,14.4,182,200000,214360.55,2872.11,211488.44,5.74
BANCO DAYCOVAL,CDB,PRE,14.4,182,200000,214360.55,2872.11,211488.44,5.74
BANCO ABC BRASIL,CDB,PRE,14.36,182,200000,214320.66,2864.13,211456.53,5.73
STELLANTIS FINANCIAMENTOS,CDB,PRE,14.31,182,200000,214270.79,2854.16,211416.64,5.71
BANCO BBC,CDB,PRE,14.3,182,200000,214260.82,2852.16,211408.66,5.7
BANCO DAYCOVAL,CDB,PRE,14.37,181,200000,214251.89,2850.38,211401.51,5.7
BANCO DAYCOVAL,CDB,PRE,14.38,181,200000,214261.81,2852.36,211409.45,5.7
STELLANTIS F S C F E I SA,CDB,PRE,14.26,182,200000,214220.93,2844.19,211376.75,5.69
BR PARTNERS BANCO DE INVESTIME,CDB,IPCA,9.6,163,200000,214619.38,3289.36,211330.02,5.67
BANCO PAN,CDB,PRE,14.18,182,200000,214141.15,2828.23,211312.92,5.66
BANCO BV,CDB,PRE,14.2,182,200000,214161.1,2832.22,211328.88,5.66
BANCO PAN,CDB,PRE,14.18,182,200000,214141.15,2828.23,211312.92,5.66
BANCO BTG PACTUAL,CDB,PRE,14.18,182,200000,214141.15,2828.23,211312.92,5.66
BANCO BTG PACTUAL,CDB,PRE,14.18,182,200000,214141.15,2828.23,211312.92,5.66
BANCO BTG PACTUAL,CDB,PRE,14.16,182,200000,214121.21,2824.24,211296.96,5.65
BANCO PAN,CDB,PRE,14.16,182,200000,214121.21,2824.24,211296.96,5.65
BANCO DAYCOVAL,CDB,PRE,14.21,181,200000,214093.21,2818.64,211274.56,5.64
BANCO RODOBENS,CDB,PRE,14.14,182,200000,214101.26,2820.25,211281.01,5.64
PARANA BANCO,CDB,PRE,14.05,181,200000,213934.52,2786.9,211147.62,5.57
BANCO ABC BRASIL,CDB,PRE,14.03,181,200000,213914.68,2782.94,211131.75,5.57
BANCO BTG PACTUAL,CDB,PRE,13.89,182,200000,213851.95,2770.39,211081.56,5.54
BANCO OURIBANK S.A,CDB,PRE,13.9,182,200000,213861.92,2772.38,211089.53,5.54
BANCO OURINVEST,CDB,PRE,13.85,182,200000,213812.05,2762.41,211049.64,5.52
BANCO ABC BRASIL,CDB,PRE,13.88,181,200000,213765.92,2753.18,211012.73,5.51
BANCO RODOBENS,CDB,PRE,13.78,181,200000,213666.74,2733.35,210933.39,5.47
BANCO GUANABARA S/A,CDB,CDI_PCT,112.0,196,200000,213655.73,2731.15,210924.58,5.46
BANCO ABC BRASIL,CDB,PRE,13.64,182,200000,213602.63,2720.53,210882.1,5.44
OURIBANK,CDB,PRE,13.7,181,200000,213587.4,2717.48,210869.92,5.43
PARANA BANCO,CDB,PRE,14.19,180,200000,213995.62,3149.01,210846.6,5.42
PARANA BANCO,CDB,IPCA,10.0,141,200000,213504.06,3038.41,210465.65,5.23
PARANA,CDB,PRE,16.5,149,200000,213471.23,3031.03,210440.21,5.22
BANCO BTG PACTUAL,CDB,CDI_PCT,101.8,123,200000,213210.52,2972.37,210238.16,5.12
BANCO BTG PACTUAL,CDB,CDI_PCT,101.8,123,200000,213210.52,2972.37,210238.16,5.12
BANCO BTG PACTUAL,CDB,CDI_PCT,101.8,123,200000,213210.52,2972.37,210238.16,5.12
BANCO HAITONG,CDB,IPCA,10.6,218,200000,212488.21,2497.64,209990.57,5.0
PAGBANK,CDB,CDI_PCT,101.5,120,200000,212812.89,2882.9,209929.99,4.96
BANCO ABC BRASIL,LCI,PRE,12.35,182,200000,212316.16,2463.23,209852.93,4.93
PARANA BANCO,CDB,CDI_PCT,100.5,120,200000,212682.77,2853.62,209829.15,4.91
BANCO STELLANTIS,CDB,CDI_PCT,99.53,120,200000,212556.63,2825.24,209731.39,4.87
PAGBANK,CDB,CDI_PCT,99.25,120,200000,212520.23,2817.05,209703.18,4.85
PARANA BANCO,CDB,CDI_PCT,99.0,120,200000,212487.74,2809.74,209678.0,4.84
BANCO PAN,CDB,CDI_PCT,98.8,120,200000,212461.75,2803.89,209657.86,4.83
BANCO BV,CDB,CDI_PCT,97.9,121,200000,212459.44,2803.37,209656.07,4.83
MERCADO LIVRE,CDB,CDI_PCT,98.5,120,200000,212422.77,2795.12,209627.65,4.81
BANCO ABC BRASIL,LCA,PRE,12.05,182,200000,212016.99,2403.4,209613.59,4.81
BBM,LCA,PRE,11.99,182,200000,211957.15,2391.43,209565.72,4.78
BANCO DAYCOVAL,CDB,CDI_PCT,97.5,120,200000,212292.89,2765.9,209526.99,4.76
BANCO DAYCOVAL,CDB,CDI_PCT,97.5,120,200000,212292.89,2765.9,209526.99,4.76
GOLDMAN SACHS DO BRASIL,CDB,CDI_PCT,97.25,120,200000,212260.43,2758.6,209501.83,4.75
OURIBANK,CDB,CDI_PCT,97.0,120,200000,212227.97,2751.29,209476.68,4.74
OMNI S/A CFI,CDB,PRE,16.5,135,200000,212205.48,2746.23,209459.25,4.73
PARANA BANCO,CDB,CDI_PCT,96.9,120,200000,212214.99,2748.37,209466.62,4.73
BANCO ABC BRASIL,LCA,PRE,11.84,182,200000,211807.56,2361.51,209446.05,4.72
BANCO DAYCOVAL,CDB,CDI_PCT,96.5,120,200000,212163.08,2736.69,209426.39,4.71
PARANA BANCO,CDB,CDI_PCT,96.4,120,200000,212150.11,2733.77,209416.33,4.71
"QISTA S.A. - CREDITO, FINANCIAMENTO",CDB,PRE,15.0,148,200000,212164.38,2736.99,209427.4,4.71
BANCO DAYCOVAL,CDB,CDI_PCT,96.0,120,200000,212098.21,2722.1,209376.11,4.69
"AGROLEND SOCIEDADE DE CREDITO, FINA",LCA,PRE,11.55,185,200000,211708.22,2341.64,209366.58,4.68
BANCO BTG PACTUAL,LCA,PRE,11.71,182,200000,211677.92,2335.58,209342.33,4.67
BANCO BOCOM BBM,LCA,PRE,11.41,184,200000,211503.78,2300.76,209203.02,4.6
BANCO BTG PACTUAL,LCA,PRE,11.47,182,200000,211438.58,2287.72,209150.86,4.58
BANCO PAN,CDB,CDI_PCT,99.5,91,200000,211506.23,2588.9,208917.33,4.46
BANCO BOCOM BBM,LCA,PRE,11.05,184,200000,211140.82,2228.16,208912.66,4.46
MERCADO LIVRE,CDB,CDI_PCT,98.5,91,200000,211387.4,2562.16,208825.23,4.41
PARANA BANCO,CDB,CDI_PCT,98.5,91,200000,211387.4,2562.16,208825.23,4.41
BANCO OURINVEST,CDB,PRE,13.85,150,200000,211383.56,2561.3,208822.26,4.41
OURIBANK,CDB,PRE,13.8,150,200000,211342.47,2552.05,208790.41,4.4
BANCO BTG PACTUAL,LCA,PRE,11.04,182,200000,211009.75,2201.95,208807.8,4.4
